nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,CALB,RT,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.471,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.480,
 1,bda4, 0 , 0 , 0 , 0 ,1,0.419,
 6,bda5, 0 , 0 , 0 , 0 ,1,0.443,
 5,bda6, 0 , 0 , 0 , 0 ,1,0.653,
 3,bda7, 0 , 0 , 0 , 0 ,4,0.484,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.348,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.369,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.388,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.437,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.444,
 5,bda5, 0 , 0 , 0 , 0 ,1,0.484,
 6,bda6, 0 , 0 , 0 , 0 ,4,0.451,
 4,bda7, 0 , 0 , 0 , 0 ,4,0.487,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.514,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.606,
 
