nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,GBIS,RT,,RT,
 5,bda7, 0 , 0 ,4,0.483, 0 , 0 ,
 6,bda8, 0 , 0 ,4,0.473, 0 , 0 ,
 4,bda9, 0 , 0 ,4,0.380, 0 , 0 ,
 3,bda2, 0 , 0 ,1,0.499, 0 , 0 ,
 2,bda3, 0 , 0 ,1,0.489, 0 , 0 ,
 1,bda4, 0 , 0 ,1,0.548, 0 , 0 ,
 0,bda5, 0 , 0 ,1,0.501, 0 , 0 ,
 7,bda6, 0 , 0 ,4,0.695, 0 , 0 ,
 5,bda7, 0 , 0 ,4,0.498, 0 , 0 ,
 6,bda8, 0 , 0 ,4,0.482, 0 , 0 ,
 4,bda9, 0 , 0 ,4,0.524, 0 , 0 ,
 5,bda2, 0 , 0 ,1,0.507, 0 , 0 ,
 6,bda3, 0 , 0 ,1,0.524, 0 , 0 ,
 4,bda4, 0 , 0 ,1,0.466, 0 , 0 ,
 1,bda5, 0 , 0 ,1,0.554, 0 , 0 ,
 0,bda6, 0 , 0 ,4,0.469, 0 , 0 ,
 3,bda7, 0 , 0 ,4,0.617, 0 , 0 ,
 2,bda8, 0 , 0 ,4,0.561, 0 , 0 ,
 7,bda9, 0 , 0 ,4,0.443, 0 , 0 ,
 
