nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,CALB,RT,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.398,
 6,bda3, 0 , 0 , 0 , 0 ,1,0.438,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.473,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.436,
 1,bda6, 0 , 0 , 0 , 0 ,1,0.504,
 7,bda7, 0 , 0 , 0 , 0 ,1,0.482,
 5,bda8, 0 , 0 , 0 , 0 ,4,0.364,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.318,
 4,bda2, 0 , 0 , 0 , 0 ,1,0.468,
 3,bda3, 0 , 0 , 0 , 0 ,1,0.506,
 6,bda4, 0 , 0 , 0 , 0 ,1,0.489,
 5,bda5, 0 , 0 , 0 , 0 ,1,0.504,
 1,bda6, 0 , 0 , 0 , 0 ,1,0.810,
 2,bda7, 0 , 0 , 0 , 0 ,4,0.496,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.519,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.441,
 
