nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,ECUN,RT,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.474,
 5,bda3, 0 , 0 , 0 , 0 ,1,1.372,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.743,
 2,bda5, 0 , 0 , 0 , 0 ,1,0.512,
 7,bda6, 0 , 0 , 0 , 0 ,4,0.468,
 6,bda7, 0 , 0 , 0 , 0 ,4,0.655,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.466,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.502,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.489,
 7,bda3, 0 , 0 , 0 , 0 ,1,1.128,
 4,bda4, 0 , 0 , 0 , 0 ,1,0.474,
 0,bda5, 0 , 0 , 0 , 0 ,4,0.443,
 2,bda6, 0 , 0 , 0 , 0 ,4,0.484,
 5,bda7, 0 , 0 , 0 , 0 ,4,0.627,
 3,bda8, 0 , 0 , 0 , 0 ,4,0.597,
 6,bda9, 0 , 0 , 0 , 0 ,4,0.582,
 
