nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, HFRE,RT,,RT,,RT,
 3,bda2,1,0.539, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.419, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.494, 0 , 0 , 0 , 0 ,
 6,bda5,4,0.664, 0 , 0 , 0 , 0 ,
 1,bda6,1,0.626, 0 , 0 , 0 , 0 ,
 4,bda7,4,0.358, 0 , 0 , 0 , 0 ,
 5,bda8,4,0.359, 0 , 0 , 0 , 0 ,
 0,bda9,4,0.414, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.617, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.677, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.727, 0 , 0 , 0 , 0 ,
 7,bda5,1,0.571, 0 , 0 , 0 , 0 ,
 5,bda6,1,0.445, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.396, 0 , 0 , 0 , 0 ,
 4,bda8,4,0.357, 0 , 0 , 0 , 0 ,
 6,bda9,4,0.304, 0 , 0 , 0 , 0 ,
 
