nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,CPAR,RT,
 0,bda2, 0 , 0 , 0 , 0 ,1,1.267,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.590,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.412,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.504,
 1,bda6, 0 , 0 , 0 , 0 ,1,0.365,
 3,bda7, 0 , 0 , 0 , 0 ,1,0.463,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.377,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.432,
 6,bda2, 0 , 0 , 0 , 0 ,1,0.828,
 7,bda3, 0 , 0 , 0 , 0 ,1,0.373,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.590,
 0,bda5, 0 , 0 , 0 , 0 ,1,0.555,
 3,bda6, 0 , 0 , 0 , 0 ,1,0.670,
 4,bda7, 0 , 0 , 0 , 0 ,4,0.641,
 2,bda8, 0 , 0 , 0 , 0 ,4,0.823,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.596,
 
