nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,JCIA,RT,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.345,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.341,
 6,bda4, 0 , 0 , 0 , 0 ,1,1.201,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.370,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.587,
 5,bda7, 0 , 0 , 0 , 0 ,4,0.518,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.403,
 0,bda9, 0 , 0 , 0 , 0 ,1,0.443,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.481,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.311,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.325,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.259,
 2,bda6, 0 , 0 , 0 , 0 ,1,0.367,
 7,bda7, 0 , 0 , 0 , 0 ,4,0.455,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.433,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.429,
 
