nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, DMCL,RT,,RT,,RT,
 2,bda2,1,0.587, 0 , 0 , 0 , 0 ,
 5,bda3,1,0.691, 0 , 0 , 0 , 0 ,
 4,bda4,1,0.570, 0 , 0 , 0 , 0 ,
 6,bda5,4,0.532, 0 , 0 , 0 , 0 ,
 0,bda6,4,0.653, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.448, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.641, 0 , 0 , 0 , 0 ,
 1,bda9,4,0.700, 0 , 0 , 0 , 0 ,
 6,bda2,1,0.578, 0 , 0 , 0 , 0 ,
 7,bda3,1,0.571, 0 , 0 , 0 , 0 ,
 2,bda4,1,0.452, 0 , 0 , 0 , 0 ,
 5,bda5,4,1.012, 0 , 0 , 0 , 0 ,
 4,bda6,4,0.649, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.873, 0 , 0 , 0 , 0 ,
 1,bda8,4,0.687, 0 , 0 , 0 , 0 ,
 0,bda9,4,0.530, 0 , 0 , 0 , 0 ,
 
