nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,WKHA,RT,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.460,
 6,bda3, 0 , 0 , 0 , 0 ,1,0.564,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.452,
 2,bda5, 0 , 0 , 0 , 0 ,1,0.654,
 1,bda6, 0 , 0 , 0 , 0 ,4,1.224,
 4,bda7, 0 , 0 , 0 , 0 ,4,0.455,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.609,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.575,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.539,
 6,bda3, 0 , 0 , 0 , 0 ,1,0.596,
 4,bda4, 0 , 0 , 0 , 0 ,1,0.493,
 0,bda5, 0 , 0 , 0 , 0 ,4,0.561,
 3,bda6, 0 , 0 , 0 , 0 ,4,1.008,
 7,bda7, 0 , 0 , 0 , 0 ,4,1.060,
 5,bda8, 0 , 0 , 0 , 0 ,4,0.480,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.594,
 
