nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, BLIN,RT,,RT,,RT,
 1,bda2,1,0.344, 0 , 0 , 0 , 0 ,
 0,bda3,1,0.751, 0 , 0 , 0 , 0 ,
 4,bda4,1,0.497, 0 , 0 , 0 , 0 ,
 3,bda5,4,0.514, 0 , 0 , 0 , 0 ,
 6,bda6,4,0.390, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.346, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.380, 0 , 0 , 0 , 0 ,
 2,bda9,4,0.384, 0 , 0 , 0 , 0 ,
 5,bda2,1,0.330, 0 , 0 , 0 , 0 ,
 1,bda3,1,0.433, 0 , 0 , 0 , 0 ,
 4,bda4,1,0.330, 0 , 0 , 0 , 0 ,
 2,bda5,1,0.392, 0 , 0 , 0 , 0 ,
 7,bda6,4,0.563, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.750, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.413, 0 , 0 , 0 , 0 ,
 0,bda9,4,0.389, 0 , 0 , 0 , 0 ,
 
