:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,ASAV,RT,,RT,RCHE,RT,
2,bda2.wav,1,529,0,0,1,473,
4,bda3.wav,1,488,0,0,1,438,
3,bda4.wav,1,925,0,0,1,957,
5,bda5.wav,1,563,0,0,1,424,
6,bda6.wav,1,882,0,0,1,1309,
7,bda7.wav,1,571,0,0,4,451,
0,bda8.wav,1,634,0,0,4,392,
1,bda9.wav,4,938,0,0,4,413,
1,bda2.wav,1,532,0,0,1,614,
3,bda3.wav,1,355,0,0,1,284,
7,bda4.wav,1,413,0,0,1,316,
4,bda5.wav,1,387,0,0,1,283,
2,bda6.wav,1,317,0,0,1,368,
6,bda7.wav,1,621,0,0,4,495,
5,bda8.wav,1,460,0,0,1,262,
0,bda9.wav,4,333,0,0,4,299,
1,bda2.wav,1,504,0,0,1,384,
0,bda3.wav,1,469,0,0,1,553,
7,bda4.wav,1,240,0,0,1,449,
4,bda5.wav,1,605,0,0,1,382,
2,bda6.wav,1,319,0,0,1,438,
6,bda7.wav,1,500,0,0,1,601,
3,bda8.wav,1,201,0,0,4,257,
5,bda9.wav,4,361,0,0,4,393,
6,bda2.wav,1,407,0,0,1,310,
4,bda3.wav,1,405,0,0,1,461,
2,bda4.wav,1,301,0,0,1,414,
1,bda5.wav,1,489,0,0,1,300,
3,bda6.wav,1,294,0,0,1,431,
7,bda7.wav,1,322,0,0,4,353,
0,bda8.wav,4,436,0,0,4,347,
5,bda9.wav,4,494,0,0,4,265,
5,bda2.wav,1,604,0,0,1,491,
7,bda3.wav,1,500,0,0,1,450,
2,bda4.wav,1,455,0,0,4,234,
3,bda5.wav,1,422,0,0,1,759,
0,bda6.wav,1,460,0,0,4,620,
6,bda7.wav,1,391,0,0,1,226,
4,bda8.wav,4,487,0,0,4,492,
1,bda9.wav,4,416,0,0,4,458,
0,bda2.wav,1,509,0,0,1,541,
7,bda3.wav,1,350,0,0,1,466,
4,bda4.wav,1,633,0,0,1,421,
6,bda5.wav,1,448,0,0,1,554,
1,bda6.wav,1,400,0,0,1,440,
3,bda7.wav,4,274,0,0,4,303,
2,bda8.wav,4,299,0,0,4,676,
5,bda9.wav,4,376,0,0,4,289,
0,bda2.wav,1,269,0,0,1,486,
1,bda3.wav,1,310,0,0,1,518,
5,bda4.wav,1,249,0,0,1,421,
4,bda5.wav,1,313,0,0,1,430,
3,bda6.wav,1,233,0,0,4,292,
7,bda7.wav,4,623,0,0,4,357,
2,bda8.wav,4,476,0,0,4,157,
6,bda9.wav,1,290,0,0,4,391,
1,bda2.wav,1,503,0,0,1,545,
0,bda3.wav,1,263,0,0,1,326,
7,bda4.wav,1,345,0,0,1,311,
6,bda5.wav,1,462,0,0,1,271,
2,bda6.wav,1,593,0,0,4,194,
3,bda7.wav,1,537,0,0,4,230,
